지명,평점,상세설명,mapy,mapx,이미지링크,주소,카테고리
Yangjae Citizens' Forest,4.4,Large park with recreational facilities,37.4706864,127.0355777,https://t3.gstatic.com/images?q=tbn:ANd9GcQ0A9sDDOn4ux8eWAZ8Ch6TALQ3n93508P4B4P6vhJSeTLt2KOVMvFGPlx_sTzLpsng9kUFC4tE1TvNfQ,"236 Yangjae 2(i)-dong, Seocho-gu, Seoul, South Korea",Outdoors Kind-friendly
Mongchontoseong,4.5,"Park, archaeological site, history, and historic site",37.5219281,127.122853,https://lh5.googleusercontent.com/-b_YNwmDvX2Q/XQJQYUnaxXI/AAAAAAAAANA/RtB6C77QCnEwV2ppvFVh17mh8icF2KILgCLIBGAYYCw/w464-h260-n-k-no/,"424 Olympic-ro, Oryun-dong, Songpa-gu, Seoul, South Korea",Outdoors History Kind-friendly
Namhansanseong,4.3,"Autumn leaf color, mountaineering, history, historic site, and mountain",37.481568,127.1848001,https://t1.gstatic.com/images?q=tbn:ANd9GcTuI17cJ1fm9De-n-Yo8Tp4g-5TJW-48_aH7xfcCVeUEsfXACLLXvDuZ0gkpoQ6ibAiRDjibKNyugj4Bw,"661 Sanseong-ri, Jungbu-myeon, Gwangju-si, Gyeonggi-do, South Korea",Outdoors History Art&Culture Kind-friendly Nightview
Lotte World,4.2,Adventure & water park with an aquarium,37.5111158,127.098167,https://lh4.googleusercontent.com/proxy/K96bOuzEbzd-zxjXkC5OQ_Uu6UH4gzfDLQ-6EqkZMGOanjKrpHJY1u159xisHd7XLr2OTNiveae88IkDuawC6BkfNLsRMH9SVcIhGIFrzTnSPmPfl8YFGCJ6rdzSmk2I34RpCoL3CE4mpLD-7biLwz5vOnsAx_wpB6cRcmMaw-sL=w464-h260-n-k-no,"240 Olympic-ro, Jamsil-dong, Songpa-gu, Seoul, South Korea",Outdoors Art&Culture Kind-friendly
Pureun Arboretum,4.4,Garden and park,37.48398359999999,126.8255942,https://lh4.googleusercontent.com/-jqVIDrITJ0c/XYWr6_N9nSI/AAAAAAAAI7g/JhwuEcXEZeo9tIiZ5wS2JtDGJ7Q_WvjdwCLIBGAYYCw/w464-h260-n-k-no/,"96-4 Hang-dong, Guro-gu, Seoul, South Korea",Outdoors
Guri Hangang Park,4.1,Park,37.5746478,127.1362039,https://t0.gstatic.com/images?q=tbn:ANd9GcQUiE2fHIhdjJQgDm7SG9QSsNpTuuQWVhuC3iGifR6BHhAU7_ovBEBvBLyUp0y5ottTIU9bbtnEIVE7wQ,"Topyeong-dong, Guri-si, Gyeonggi-do, South Korea",Outdoors Nightview
장흥자생수목원,3.3,Arboretum,37.7437904,126.9496895,https://lh5.googleusercontent.com/-PVxootyA6Ow/XNaUqPvwATI/AAAAAAAAS2Q/2oeO5QrOD8441ZUnWLZst26bFAf7LCUZACLIBGAYYCw/w464-h260-n-k-no/,"산162-1 Seokhyeon-ri, Jangheung-myeon, Yangju-si, Gyeonggi-do, South Korea",Outdoors
Nakseongdae,4.3,Tranquil place & a general's birthplace,37.4711007,126.95999,https://t0.gstatic.com/images?q=tbn:ANd9GcSYMpCcd708LGlNn1Bt6-mM7uzD2XWNUNSevxnFIpDXt29doKg8aXAtUVbWOztfHyPu53ruvVs5wBN7ww,"77 Nakseongdae-ro, Bongcheon-dong, Gwanak-gu, Seoul, South Korea",Outdoors
Mangwon Hangang Park,4.3,Park,37.5557262,126.8945702,https://lh6.googleusercontent.com/-0hPhY66Ducs/XVv85XXV5ZI/AAAAAAAAtQ0/3nfdCZCwzkwn12sldJzWja95-Qzvs-t_QCLIBGAYYCw/w464-h260-n-k-no/,"South Korea, 서울특별시 마포구 마포나루길 467 (망원동) 망원한강공원 내",Outdoors Nightview
신구대학교식물원,4.0,Garden,37.433886,127.081463,https://lh3.googleusercontent.com/-5SLwJOvXiY4/XTqtEMt6z2I/AAAAAAAAORs/0yDh7gbz70Ipctlq0hA_p4XJQRvQSLVigCLIBGAYYCw/w464-h260-n-k-no/,"South Korea, Gyeonggi-do, Seongnam-si, Sujeong-gu, 적 푸리 로 9 상적동 123-1)",Outdoors
