지명,평점,상세설명,mapx,mapy,이미지링크,주소,카테고리
별마당 도서관,4.6,도서관,127.06020678147173,37.51010750214138,https://lh5.googleusercontent.com/-Cmx6AeSkykA/WngMUbyNYZI/AAAAAAAATQs/rIj1e1fkt-oUY5cKNrzkTKxqDBa2b6NtwCLIBGAYYCw/w464-h260-n-k-no/,서울특별시 강남구 삼성동 159,"교육,학문>도서관"
예술의전당 한가람미술관,4.4,"미술관, 구스타프 클림트, 박물관 및 예술",127.01427795170684,37.48038631610958,https://lh5.googleusercontent.com/proxy/Y8puFYgW_ZQMS9zSx0mLvZdhEQ0nAcGOGW15CTv5sEw1fBkCRtSkbVPAfW6Y8nJOSpmJzQUsSFlFSfVoEwwmzuNAM52HbCcGRdXJXTHo2u2A-IGwMNci-5dvSobopSMFimGhKOOpB2KFXL9uw07lsYOq5bY=w464-h260-n-k-no,서울특별시 서초구 서초동 700,"문화,예술>갤러리,화랑"
스타필드 코엑스몰,4.2,수족관이 있는 거대한 지하 쇼핑몰,127.05945131097832,37.511723398219196,https://t1.gstatic.com/images?q=tbn:ANd9GcTbuz62jKmaplhV7ukh1EGxSO-qEh4KeIGr1OyXsIoA02RJxj_sKL0px35jEH7Gbbn9G0KqbS2tOt9QVA,서울특별시 강남구 삼성동 159,"쇼핑,유통>쇼핑복합시설"
간송미술관,3.9,"미술관, 회화, 박물관 및 예술",126.99693382377754,37.59371847568932,https://lh3.googleusercontent.com/-1ufrsyYaJwI/XYW6c-3NFuI/AAAAAAACxeA/A4Wv6UXdis0ZouE60AvFHCzOZM2JUkrPwCLIBGAYYCw/w464-h260-n-k-no/,서울특별시 성북구 성북동 97-1,"문화,예술>갤러리,화랑"
국제갤러리,4.2,"미술관, 갤러리 및 예술",126.98050983050744,37.58075615796345,https://lh5.googleusercontent.com/--_Ub0ZcJMrY/XKao04TW4lI/AAAAAAAAJcU/0evVwo8ZPHon4fTKB4FjtgAGqmoNLNXWQCLIBGAYYCw/w464-h260-n-k-no/,서울특별시 종로구 소격동 59-1,"문화,예술>갤러리,화랑"
일민미술관,4.1,"미술관, 박물관 및 예술",126.97772656092775,37.56983853941792,https://t2.gstatic.com/images?q=tbn:ANd9GcSccGgWoZf3bzr4Pz4KNw01TLt-zjiIMqnK4KksCWSamlU1rZU87kDv97UyycD-8rf_Nqvr3Fmmv31Q0g,서울특별시 종로구 세종로 139-8,"문화,예술>미술관"
석촌호수공원,4.5,"공원, 단풍 및 호수",127.10511959994656,37.51232097420721,https://lh3.googleusercontent.com/proxy/xqtv8S1J4q10eGubGxErAZhYay4J83XVw4pKYOgFfx6sx6Qki0sTx-ouULc_J7LHwGrKHm7WZSB-yySjYHh6zqsstiT6IxztT9nvfG6y2TuWmUCXU6qcHsweChwhuOYZ2cM8NyiGOIQ1IEQQWibORBA7xY0=w464-h260-n-k-no,서울특별시 송파구 신천동,자연공원>부속시설
일산 호수공원,4.5,공원 및 호수,126.76420629239979,37.65564815983614,https://lh5.googleusercontent.com/-7JqKV6_PrKA/WxNOPA_ME2I/AAAAAAAAC3c/ZLn3VNjsK9U-tW48x4k8gwL76CYTpaIhwCLIBGAYYCw/w464-h260-n-k-no/,경기도 고양시 일산동구 장항동,"여행,명소>호수,연못,저수지"
명동,3,다양한 쇼핑 및 캐주얼한 세계 각국의 요리를 선보이는 식당,126.98587296613474,37.56010536411583,https://lh3.googleusercontent.com/-eNL35ckOsOE/WyQt3-LHSAI/AAAAAAAAUbY/fJQeGlaRSik2DaGXBbbafYTXkp-xEhxngCLIBGAYYCw/w464-h260-n-k-no/,서울특별시 중구 남산동2가 9-6,"공공,사회기관>행정복지센터"
디뮤지엄,4.2,"박물관, 예술 및 미술관",127.0115180749209,37.53715665043855,https://lh6.googleusercontent.com/proxy/lNzlqpKGfiVbZiHKBRoXVJ8m-KemgwTXabHcZiouC46txHjO8QQcgjSql4964Muquve5duQAL3BV40X-V6TPCpQCW7Wku859_lCFGkQUCBosQWZXu3fIzxI66babuAt_YxPQ5jXC918waGWphFuNmmdvlno=w464-h260-n-k-no,서울특별시 용산구 한남동 50-1 Replace한남 F동,"문화,예술>미술관"
서울대공원,4.3,동물원 및 전시관이 있는 엔터테인먼트 지역,127.0198760949236,37.426504282335344,https://t3.gstatic.com/images?q=tbn:ANd9GcQshAWytVKZDVBDX8-y38Vpq3yXyKpAfOhnhaf6UCbrTYxGqKzMlCzpFF7IBBGR0c7MfLa_SnWb9aQrjw,경기도 과천시 막계동 159-1,"여행,명소>테마파크"
